comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,views
4553,1164,TED2006,1140825600,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,1151367060,Author/educator,Do schools kill creativity?,47227110
265,977,TED2006,1140825600,43,Al Gore,Al Gore: Averting the climate crisis,1,1151367060,Climate advocate,Averting the climate crisis,3200520
124,1286,TED2006,1140739200,26,David Pogue,David Pogue: Simplicity sells,1,1151367060,Technology columnist,Simplicity sells,1636292
200,1116,TED2006,1140912000,35,Majora Carter,Majora Carter: Greening the ghetto,1,1151367060,Activist for environmental justice,Greening the ghetto,1697550
593,1190,TED2006,1140566400,48,Hans Rosling,Hans Rosling: The best stats you've ever seen,1,1151440680,Global health expert; data visionary,The best stats you've ever seen,12005869
672,1305,TED2006,1138838400,36,Tony Robbins,Tony Robbins: Why we do what we do,1,1151440680,Life coach; expert in leadership psychology,Why we do what we do,20685401
919,992,TED2006,1140739200,31,Julia Sweeney,Julia Sweeney: Letting go of God,1,1152490260,"Actor, comedian, playwright",Letting go of God,3769987
46,1198,TED2006,1140652800,19,Joshua Prince-Ramus,Joshua Prince-Ramus: Behind the design of Seattle's library,1,1152490260,Architect,Behind the design of Seattle's library,967741
852,1485,TED2006,1138838400,32,Dan Dennett,Dan Dennett: Let's teach religion -- all religion -- in schools,1,1153181460,"Philosopher, cognitive scientist",Let's teach religion -- all religion -- in schools,2567958
900,1262,TED2006,1140825600,31,Rick Warren,Rick Warren: A life of purpose,1,1153181460,"Pastor, author",A life of purpose,3095993
79,1414,TED2006,1140912000,27,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,1,1153786260,"Co-founder, Architecture for Humanity",My wish: A call for open-source architecture,1211416
55,1538,TED2006,1140912000,20,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,1,1153786260,Filmmaker,My wish: A global day of film,387877
71,1550,TED2006,1140652800,24,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,1,1153786260,"Epidemiologist, philanthropist",My wish: Help me stop pandemics,693341
242,527,TED2006,1139184000,27,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,1,1154391060,Human-computer interface designer,The radical promise of the multi-touch interface,4531020
99,1057,TED2006,1140652800,25,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,1,1154391060,Tech visionary,One Laptop per Child,358304
325,1481,TED2006,1140652800,31,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,1,1154995860,Violinist,An 11-year-old's magical violin,2702470
305,1445,TED2004,1077753600,32,Jennifer Lin,"Jennifer Lin: Improvising on piano, aged 14",1,1154995860,"Pianist, composer","Improvising on piano, aged 14",1628912
88,906,TED2006,1140739200,27,Amy Smith,Amy Smith: Simple designs to save a life,1,1155600660,"inventor, engineer",Simple designs to save a life,1415724
163,1170,TED2005,1109289600,22,Ross Lovegrove,"Ross Lovegrove: Organic design, inspired by nature",1,1155600660,Industrial designer,"Organic design, inspired by nature",1074081
84,1201,TEDGlobal 2005,1121299200,32,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,1,1156119060,Founder of Wikipedia,The birth of Wikipedia,1106561
108,1114,TED2006,1140652800,27,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1,1156119060,Education visionary,The birth of the open-source learning revolution,966439
185,1136,TED2004,1077580800,26,Ze Frank,Ze Frank: Nerdcore comedy,1,1156464660,"Humorist, web artist",Nerdcore comedy,6141440
50,1006,TED2006,1140652800,20,Mena Trott,Mena Trott: Meet the founder of the blog revolution,1,1156464660,"Blogger; cofounder, Six Apart",Meet the founder of the blog revolution,518624
556,1407,TED2006,1140739200,33,Helen Fisher,"Helen Fisher: Why we love, why we cheat",1,1157501460,"Anthropologist, expert on love","Why we love, why we cheat",9260764
117,1225,TED2004,1075852800,23,Eve Ensler,Eve Ensler: Happiness in body and soul,1,1157501460,"Playwright, activist",Happiness in body and soul,1131864
184,1140,TEDGlobal 2005,1121299200,29,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,1,1158019860,Quantum physicist,Chemical scum that dream of distant quasars,1096862
507,1316,TEDGlobal 2005,1120694400,36,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,1,1158019860,Evolutionary biologist,Why the universe seems so strange,2885999
95,1275,TED2004,1077840000,25,Steven Levitt,Steven Levitt: The freakonomics of crack dealing,1,1158624660,Economist,The freakonomics of crack dealing,2863214
355,1050,TED2004,1077753600,37,Malcolm Gladwell,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",1,1158624660,Writer,"Choice, happiness and spaghetti sauce",7023562
970,1276,TED2004,1075680000,43,Dan Gilbert,Dan Gilbert: The surprising science of happiness,1,1159229460,Psychologist; happiness expert,The surprising science of happiness,14689301
991,1177,TEDGlobal 2005,1121385600,45,Barry Schwartz,Barry Schwartz: The paradox of choice,1,1159229460,Psychologist,The paradox of choice,10000702
213,1129,TED2005,1109376000,26,Eva Vertes,Eva Vertes: Meet the future of cancer research,1,1159747860,Neuroscience and cancer researcher,Meet the future of cancer research,1030267
612,1365,TEDGlobal 2005,1121299200,29,Aubrey de Grey,Aubrey de Grey: A roadmap to end aging,1,1159747860,Crusader against aging,A roadmap to end aging,3277740
74,952,TEDGlobal 2005,1121212800,21,Iqbal Quadir,Iqbal Quadir: How mobile phones can fight poverty,1,1160439060,"Founder, GrameenPhone",How mobile phones can fight poverty,503517
58,773,TEDGlobal 2005,1120176000,26,Jacqueline Novogratz,Jacqueline Novogratz: Invest in Africa's own solutions,1,1160439060,Investor and advocate for moral leadership,Invest in Africa's own solutions,705389
43,1080,TEDGlobal 2005,1121299200,21,Sasa Vucinic,Sasa Vucinic: Why we should invest in a free press,1,1161130260,Nonprofit venture capitalist,Why we should invest in a free press,580891
67,1125,TEDGlobal 2005,1121126400,24,Ashraf Ghani,Ashraf Ghani: How to rebuild a broken state,1,1161130260,President-elect of Afghanistan,How to rebuild a broken state,809226
186,1177,TED2006,1140739200,28,Burt Rutan,Burt Rutan: The real future of space exploration,1,1161735060,Aircraft engineer,The real future of space exploration,2028451
57,1083,TED2005,1109203200,26,Ben Saunders,Ben Saunders: Why did I ski to the North Pole?,1,1161735060,Arctic explorer,Why did I ski to the North Pole?,745231
112,1672,TED2005,1109203200,24,Bono,Bono: My wish: Three actions for Africa,1,1162253460,"Musician, activist",My wish: Three actions for Africa,718649
58,2065,TED2005,1108598400,22,Edward Burtynsky,Edward Burtynsky: My wish: Manufactured landscapes and green education,1,1162253460,Photographer,My wish: Manufactured landscapes and green education,975107
33,1609,TED2005,1109203200,20,Robert Fischell,Robert Fischell: My wish: Three unusual medical inventions,1,1162253460,Biomedical inventor,My wish: Three unusual medical inventions,382996
105,1280,TEDGlobal 2005,1121299200,20,Peter Donnelly,Peter Donnelly: How juries are fooled by statistics,1,1162944660,Mathematician; statistician,How juries are fooled by statistics,1053758
494,805,TED2006,1140652800,41,Michael Shermer,Michael Shermer: Why people believe weird things,1,1162944660,Skeptic,Why people believe weird things,5364639
233,1376,TED2005,1109203200,22,Ray Kurzweil,Ray Kurzweil: The accelerating power of technology,1,1163463060,"Inventor, futurist",The accelerating power of technology,2434344
149,1200,TED2005,1109203200,26,Kevin Kelly,Kevin Kelly: How technology evolves,1,1163463060,Digital visionary,How technology evolves,1536873
52,848,TED2006,1140652800,24,Peter Gabriel,Peter Gabriel: Fight injustice with raw video,1,1165363860,"Musician, activist",Fight injustice with raw video,904215
578,210,TED2005,1109116800,66,Richard St. John,Richard St. John: 8 secrets of success,1,1166055060,"Marketer, success analyst",8 secrets of success,10841210
95,247,TEDSalon 2006,1164844800,34,Rives,Rives: If I controlled the Internet,1,1166055060,"Performance poet, multimedia artist",If I controlled the Internet,1813665
199,198,TED2006,1140652800,48,Dean Ornish,Dean Ornish: The killer American diet that's sweeping the planet,1,1166055060,"Physician, author",The killer American diet that's sweeping the planet,2299265
85,843,TEDGlobal 2005,1121299200,22,Robert Neuwirth,Robert Neuwirth: The hidden world of shadow cities,1,1167696660,Author,The hidden world of shadow cities,673036
499,1001,TED2005,1107302400,32,Bjorn Lomborg,Bjorn Lomborg: Global priorities bigger than climate change,1,1167696660,Global prioritizer,Global priorities bigger than climate change,1391142
371,1321,TED2003,1044230400,36,Wade Davis,Wade Davis: Dreams from endangered cultures,1,1168301460,"Anthropologist, ethnobotanist",Dreams from endangered cultures,2532851
59,1115,TED2006,1140652800,29,Phil Borges,Phil Borges: Photos of endangered cultures,1,1168301460,Photographer,Photos of endangered cultures,882034
203,1046,TEDGlobal 2005,1121299200,29,Martin Rees,Martin Rees: Is this our final century?,1,1168992660,Astrophysicist,Is this our final century?,2121177
130,1151,TED2006,1138838400,23,Robert Wright,Robert Wright: Progress is not a zero-sum game,1,1168992660,"Journalist, philosopher",Progress is not a zero-sum game,1090180
47,603,TEDSalon 2006,1164844800,29,Steven Johnson,"Steven Johnson: How the ""ghost map"" helped end a killer disease",1,1170202260,Writer,"How the ""ghost map"" helped end a killer disease",684519
91,1141,TEDGlobal 2005,1121299200,24,Charles Leadbeater,Charles Leadbeater: The era of open innovation,1,1170202260,Innovation consultant,The era of open innovation,1409327
222,825,TED2005,1109289600,0,Pilobolus,"Pilobolus: A dance of ""Symbiosis""",1,1170979860,Dance company,"A dance of ""Symbiosis""",3051507
111,1385,TED2005,1109289600,19,Anna Deavere Smith,Anna Deavere Smith: Four American characters,1,1170979860,"Actor, playwright, social critic",Four American characters,978825
28,869,TED2006,1140652800,18,Saul Griffith,Saul Griffith: Everyday inventions,1,1171843860,Inventor,Everyday inventions,442553
64,1038,TED2006,1138838400,17,Neil Gershenfeld,Neil Gershenfeld: Unleash your creativity in a Fab Lab,1,1171843860,"Physicist, personal fab pioneer",Unleash your creativity in a Fab Lab,691814
226,1155,TEDGlobal 2005,1120694400,30,Carl Honoré,Carl Honoré: In praise of slowness,1,1172621460,Journalist,In praise of slowness,2441805
97,1447,TED2007,1173312000,26,Bill Clinton,Bill Clinton: My wish: Rebuilding Rwanda,1,1175559060,Activist,My wish: Rebuilding Rwanda,849859
89,1355,TED2007,1173312000,26,E.O. Wilson,E.O. Wilson: My wish: Build the Encyclopedia of Life,1,1175559060,Biologist,My wish: Build the Encyclopedia of Life,1335732
107,1316,TED2007,1173312000,23,James Nachtwey,James Nachtwey: My wish: Let my photographs bear witness,1,1175559060,Photojournalist,My wish: Let my photographs bear witness,1262674
161,1645,TED2002,1014940800,31,Jane Goodall,Jane Goodall: What separates us from chimpanzees?,1,1175731860,Primatologist; environmentalist,What separates us from chimpanzees?,1663001
220,1021,TED2003,1046304000,31,Seth Godin,Seth Godin: How to get your ideas to spread,1,1175731860,Marketer and author,How to get your ideas to spread,5570544
114,1211,TED2005,1107302400,28,James Watson,James Watson: How we discovered DNA,1,1175731860,"Biologist, Nobel laureate",How we discovered DNA,1520908
88,873,TED2004,1077753600,31,Al Seckel,Al Seckel: Visual illusions that show how we (mis)think,1,1175731860,Master of visual illusions,Visual illusions that show how we (mis)think,2138907
130,1207,TED2002,1012608000,18,Dean Kamen,Dean Kamen: To invent is to give,1,1175731860,Inventor,To invent is to give,680134
49,1340,TED2003,1044144000,20,Juan Enriquez,Juan Enriquez: The life code that will reshape the future,1,1175731860,Futurist,The life code that will reshape the future,690928
86,930,TED2004,1075680000,26,Stefan Sagmeister,Stefan Sagmeister: Happiness by design,1,1175731860,Graphic designer,Happiness by design,1762302
107,1054,TEDGlobal 2005,1120694400,32,Alex Steffen,Alex Steffen: The route to a sustainable future,1,1175731860,Planetary futurist,The route to a sustainable future,1392010
50,1240,TED2005,1109289600,16,Thom Mayne,Thom Mayne: How architecture can connect us,1,1175731860,Architect,How architecture can connect us,660909
78,1204,TED2002,1012608000,23,Chris Bangle,Chris Bangle: Great cars are great art,1,1175731860,Car designer,Great cars are great art,867495
40,276,TEDSalon 2006,1166054400,28,Nora York,"Nora York: Singing ""What I Want""",1,1175731860,"Singer, performance artist","Singing ""What I Want""",395769
27,850,TEDGlobal 2005,1121299200,24,Paul Bennett,Paul Bennett: Design is in the details,1,1175731860,"Designer; creative director, Ideo",Design is in the details,761930
84,891,TED2003,1046304000,23,Vik Muniz,"Vik Muniz: Art with wire, sugar, chocolate and string",1,1175731860,Artist,"Art with wire, sugar, chocolate and string",1149090
131,1012,TEDGlobal 2005,1121299200,24,Nick Bostrom,Nick Bostrom: A philosophical quest for our biggest problems,1,1175731860,Philosopher,A philosophical quest for our biggest problems,762264
127,1399,TED2005,1109203200,24,Janine Benyus,Janine Benyus: Biomimicry's surprising lessons from nature's engineers,1,1175731860,"Science writer, innovation consultant, conservationist",Biomimicry's surprising lessons from nature's engineers,1920434
34,1011,TEDGlobal 2005,1109203200,21,Craig Venter,Craig Venter: Sampling the ocean's DNA,1,1175731860,"Biologist, genetics pioneer",Sampling the ocean's DNA,560904
47,893,TED2004,1077840000,20,Golan Levin,Golan Levin: Software (as) art,1,1175731860,Experimental audio-visual artist,Software (as) art,606311
335,1045,TED2004,1075680000,28,Susan Savage-Rumbaugh,Susan Savage-Rumbaugh: The gentle genius of bonobos,1,1175731860,Primate authority,The gentle genius of bonobos,2197377
143,977,TED2005,1107302400,30,Frans Lanting,Frans Lanting: The story of life in photographs,1,1175731860,Nature photographer,The story of life in photographs,1697185
57,985,TED2004,1077667200,18,Sheila Patek,Sheila Patek: The shrimp with a kick!,1,1175731860,"Biologist, biomechanics researcher",The shrimp with a kick!,1115081
39,163,TED2006,1140912000,38,Jill Sobule,"Jill Sobule: Global warming's theme song, ""Manhattan in January""",1,1175819400,Singer/songwriter,"Global warming's theme song, ""Manhattan in January""",591379
34,459,TED2005,1107302400,25,Caroline Lavelle,Caroline Lavelle: Casting a spell on the cello,1,1175835900,Cellist; singer-songwriter,Casting a spell on the cello,398713
501,1308,TED2003,1046304000,31,Dan Dennett,Dan Dennett: The illusion of consciousness,1,1175855580,"Philosopher, cognitive scientist",The illusion of consciousness,2676717
296,1929,TED2003,1044144000,32,Evelyn Glennie,Evelyn Glennie: How to truly listen,1,1175881860,Musician,How to truly listen,4165572
231,1205,TED2005,1107302400,25,William McDonough,William McDonough: Cradle to cradle design,1,1175882580,Architect,Cradle to cradle design,1426390
58,1031,TED2003,1044144000,22,Jeff Bezos,Jeff Bezos: The electricity metaphor for the web's future,1,1176162180,Online commerce pioneer,The electricity metaphor for the web's future,754700
58,251,TED2006,1138838400,25,Rives,Rives: A mockingbird remix of TED2006,1,1176163140,"Performance poet, multimedia artist",A mockingbird remix of TED2006,643078
75,378,TED2003,1044144000,28,Eddi Reader,"Eddi Reader: ""Kiteflyer's Hill""",2,1176586800,Singer/songwriter,"""Kiteflyer's Hill""",513672
50,312,TED2003,1044144000,25,Eddi Reader,"Eddi Reader: ""What You've Got""",2,1176586800,Singer/songwriter,"""What You've Got""",428351
588,1172,TED2005,1107302400,22,Tom Honey,Tom Honey: Why would God create a tsunami?,1,1176688500,Priest,Why would God create a tsunami?,616385
6404,1750,TED2002,1012608000,42,Richard Dawkins,Richard Dawkins: Militant atheism,1,1176689220,Evolutionary biologist,Militant atheism,4374792
49,1195,TED2006,1138838400,16,Tom Rielly,Tom Rielly: A comic sendup of TED2006,1,1176695640,Satirist,A comic sendup of TED2006,609087
39,201,TED2004,1075680000,33,Rachelle Garniez,"Rachelle Garniez: ""La Vie en Rose""",2,1176701700,Musician,"""La Vie en Rose""",443180
42,858,TED2004,1075680000,23,Chris Anderson,Chris Anderson: Technology's long tail,1,1177632660,Drone maker,Technology's long tail,904520
67,311,TED2002,1012608000,30,Natalie MacMaster,Natalie MacMaster: Cape Breton fiddling in reel time,2,1178040660,Fiddler,Cape Breton fiddling in reel time,717002
56,1233,TED2004,1075680000,31,Sergey Brin + Larry Page,Sergey Brin + Larry Page: The genesis of Google,2,1178214660,"Computer scientist, entrepreneur and philanthropist",The genesis of Google,1451846
72,277,TED2006,1141344000,22,Stew,"Stew: ""Black Men Ski""",1,1178545440,Singer/songwriter,"""Black Men Ski""",577502
328,1184,TED2004,1075680000,21,James Howard Kunstler,James Howard Kunstler: The ghastly tragedy of the suburbs,1,1178958000,Social critic,The ghastly tragedy of the suburbs,1683456
32,1020,TED2002,1012608000,19,David Kelley,David Kelley: Human-centered design,1,1179223200,"Designer, educator",Human-centered design,779873
99,185,TED2006,1138838400,44,Stewart Brand,Stewart Brand: What squatter cities can teach us,1,1179398160,"Environmentalist, futurist",What squatter cities can teach us,940913
230,1211,TED2003,1044144000,29,Jeff Hawkins,Jeff Hawkins: How brain science will change computing,1,1179760080,"Computer designer, brain researcher",How brain science will change computing,1371482
87,1001,TED2003,1044144000,22,Tierney Thys,Tierney Thys: Swim with the giant sunfish,1,1179763140,Marine biologist,Swim with the giant sunfish,870412
260,450,TED2007,1172880000,34,Blaise Agüera y Arcas,Blaise Agüera y Arcas: How PhotoSynth can connect the world's images,1,1180226220,Software architect,How PhotoSynth can connect the world's images,4772595
295,1072,TED2007,1172880000,20,John Doerr,John Doerr: Salvation (and profit) in greentech,1,1180266840,Venture capitalist,Salvation (and profit) in greentech,805111
127,1213,TED2007,1172880000,32,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala: Want to help Africa? Do business here,1,1180491120,Economist,Want to help Africa? Do business here,1044185
124,279,TED2007,1172880000,31,Anand Agarawala,Anand Agarawala: Rethink the desktop with BumpTop,1,1181044860,Interaction designer; software developer,Rethink the desktop with BumpTop,1479503
220,726,TEDSalon 2006,1164931200,31,Robert Thurman,Robert Thurman: We can be Buddhas,1,1181125860,Buddhist scholar,We can be Buddhas,1493606
14,1477,TED2002,1012608000,18,David Rockwell,David Rockwell: A memorial at Ground Zero,1,1181625060,"Architect, experience designer",A memorial at Ground Zero,404402
305,1402,TED2005,1107302400,19,Thomas Barnett,Thomas Barnett: Let's rethink America's military strategy,1,1181779860,Military strategist,Let's rethink America's military strategy,1136037
27,214,TED2006,1138838400,0,Ethel,"Ethel: A string quartet plays ""Blue Room""",1,1182184140,String quartet,"A string quartet plays ""Blue Room""",384641
22,370,TED2007,1172880000,25,Stephen Lawler,Stephen Lawler: Tour Microsoft's Virtual Earth,1,1182332160,General manager of Microsoft's Virtual Earth,Tour Microsoft's Virtual Earth,308879
261,1137,TED2007,1172880000,35,Hans Rosling,Hans Rosling: New insights on poverty,1,1182762720,Global health expert; data visionary,New insights on poverty,3243784
240,1063,TED2007,1172880000,24,Bill Stone,Bill Stone: I'm going to the moon. Who's with me?,1,1182941400,"Explorer, inventor and outer space dreamer",I'm going to the moon. Who's with me?,1801117
392,926,TED2002,1012608000,32,Dan Dennett,Dan Dennett: Dangerous memes,1,1183412700,"Philosopher, cognitive scientist",Dangerous memes,1596067
150,1165,TED2006,1138838400,33,Alan Russell,Alan Russell: The potential of regenerative medicine,1,1183545900,Medical futurist,The potential of regenerative medicine,1427723
145,1030,TED2007,1172880000,23,Jonathan Harris,Jonathan Harris: The Web's secret stories,1,1183925640,"Artist, storyteller, Internet anthropologist",The Web's secret stories,1049727
136,934,TED2007,1172880000,22,Emily Oster,Emily Oster: Flip your thinking on AIDS in Africa,1,1184221140,Assumption-busting economist,Flip your thinking on AIDS in Africa,854967
126,997,TED2007,1172880000,19,Will Wright,"Will Wright: Spore, birth of a game",1,1184667720,Game designer,"Spore, birth of a game",1107307
276,552,TED2007,1172880000,34,Rives,Rives: The  4 a.m. mystery,1,1184683440,"Performance poet, multimedia artist",The  4 a.m. mystery,3387765
231,585,TED2007,1172880000,27,David Bolinsky,David Bolinsky: Visualizing the wonder of a living cell,1,1185093060,Medical animator,Visualizing the wonder of a living cell,1788182
80,288,TED2007,1172880000,39,Allison Hunt,Allison Hunt: How to get (a new) hip,1,1185287940,Marketing expert,How to get (a new) hip,558993
97,1070,TEDGlobal 2007,1181001600,20,George Ayittey,George Ayittey: Africa's cheetahs versus hippos,1,1185791520,Economist,Africa's cheetahs versus hippos,648234
108,1330,TEDGlobal 2007,1181174400,21,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala: Aid versus trade,1,1185879300,Economist,Aid versus trade,524049
174,252,TEDGlobal 2007,1181001600,44,William Kamkwamba,William Kamkwamba: How I built a windmill,1,1185880800,Inventor,How I built a windmill,1543596
31,1141,TEDGlobal 2007,1180915200,21,Euvin Naidoo,Euvin Naidoo: Why invest in Africa,1,1185895440,Investment banker,Why invest in Africa,335086
150,1051,TEDGlobal 2007,1181088000,27,Patrick Awuah,Patrick Awuah: How to educate leaders? Liberal arts,1,1186129740,University founder,How to educate leaders? Liberal arts,1216429
77,1056,TEDGlobal 2007,1181088000,21,Chris Abani,Chris Abani: Telling stories from Africa,1,1186647000,"Novelist, poet",Telling stories from Africa,561703
106,1103,TEDGlobal 2007,1181001600,26,Jacqueline Novogratz,Jacqueline Novogratz: Patient capitalism,1,1186930800,Investor and advocate for moral leadership,Patient capitalism,836269
60,606,TEDGlobal 2007,1181174400,21,Vusi Mahlasela,"Vusi Mahlasela: ""Thula Mama""",1,1187153820,"Musician, activist","""Thula Mama""",531957
36,299,TEDGlobal 2007,1181260800,0,Vusi Mahlasela,"Vusi Mahlasela: ""Woza""",1,1187695440,"Musician, activist","""Woza""",416603
49,931,TED2007,1172880000,23,Jeff Skoll,Jeff Skoll: My journey into movies that matter,1,1187712540,Producer,My journey into movies that matter,727247
102,310,TED2007,1173398400,32,Dean Kamen,"Dean Kamen: Luke, a new prosthetic arm for soldiers",1,1188280800,Inventor,"Luke, a new prosthetic arm for soldiers",1575699
151,950,TED2007,1172880000,32,Erin McKean,Erin McKean: The joy of lexicography,1,1188459000,Dictionary editor,The joy of lexicography,1013063
126,1027,TEDGlobal 2007,1181088000,30,Andrew Mwenda,Andrew Mwenda: Aid for Africa? No thanks.,1,1188884220,Journalist,Aid for Africa? No thanks.,722877
304,493,TED2007,1172880000,32,Theo Jansen,"Theo Jansen: My creations, a new form of life",1,1189072800,Artist,"My creations, a new form of life",3982352
124,1047,TEDGlobal 2005,1120694400,32,Steven Pinker,Steven Pinker: What our language habits reveal,1,1189349760,Psychologist,What our language habits reveal,1914263
677,1155,TED2007,1172880000,32,Steven Pinker,Steven Pinker: The surprising decline in violence,1,1189421700,Psychologist,The surprising decline in violence,2063367
164,1056,TED2007,1172880000,19,Deborah Scranton,Deborah Scranton: An Iraq war movie crowd-sourced from soldiers,1,1189666800,Filmmaker,An Iraq war movie crowd-sourced from soldiers,507997
65,951,TEDGlobal 2007,1181174400,26,Zeresenay Alemseged,Zeresenay Alemseged: The search for humanity's roots,1,1190098800,Paleoanthropologist,The search for humanity's roots,913666
83,959,TED2007,1172880000,24,John Maeda,John Maeda: Designing for simplicity,1,1190277480,Artist,Designing for simplicity,1215947
169,1782,TED2002,1012608000,22,Stephen Petranek,Stephen Petranek: 10 ways the world could end,1,1190689620,Technology forecaster ,10 ways the world could end,1712075
29,1280,TED2003,1044144000,20,Paul MacCready,Paul MacCready: A flight on solar wings,1,1190769780,Engineer,A flight on solar wings,736290
225,1029,TED2007,1172880000,33,Carolyn Porco,Carolyn Porco: This is Saturn,1,1191216180,Planetary scientist,This is Saturn,2627709
101,212,TED2007,1172880000,43,Kenichi Ebina,Kenichi Ebina: My magic moves,1,1191403500,Dancer,My magic moves,1720579
80,1791,TED2007,1172880000,29,Richard Branson,"Richard Branson: Life at 30,000 feet",1,1191910620,Entrepreneur,"Life at 30,000 feet",1609555
242,378,TED2007,1173139200,28,Hod Lipson,"Hod Lipson: Building ""self-aware"" robots",1,1192071420,Roboticist,"Building ""self-aware"" robots",1212346
45,1050,TED2007,1172880000,21,Maira Kalman,Maira Kalman: The illustrated woman,1,1192499400,"Illustrator, author",The illustrated woman,672254
145,963,TED2007,1172880000,22,Jan Chipchase,Jan Chipchase: The anthropology of mobile phones,1,1192716300,User anthropologist,The anthropology of mobile phones,694378
432,1414,TED2007,1172880000,35,VS Ramachandran,VS Ramachandran: 3 clues to understanding your brain,1,1192954500,Brain expert,3 clues to understanding your brain,3930186
64,1234,TEDGlobal 2007,1181088000,21,Eleni Gabre-Madhin,Eleni Gabre-Madhin: A commodities exchange for Ethiopia,1,1193274000,Economist,A commodities exchange for Ethiopia,562457
262,1338,TED2003,981072000,26,Sherwin Nuland,Sherwin Nuland: How electroshock therapy changed me,1,1193718180,Doctor,How electroshock therapy changed me,1522858
412,1254,TED2004,1075680000,39,Matthieu Ricard,Matthieu Ricard: The habits of happiness,1,1193881320,"Monk, author, photographer",The habits of happiness,7271730
328,1136,TED2007,1172880000,26,Lawrence Lessig,Lawrence Lessig: Laws that choke creativity,1,1194310800,Legal activist,Laws that choke creativity,1895259
40,299,TED2007,1172880000,28,Paul Rothemund,Paul Rothemund: Playing with DNA that self-assembles,1,1194484440,DNA origamist,Playing with DNA that self-assembles,410563
279,958,TEDSalon 2007 Hot Science,1189296000,24,David Keith,David Keith: A critical look at geoengineering against climate change,1,1194918240,Environmental scientist,A critical look at geoengineering against climate change,876658
115,1090,TEDSalon 2007 Hot Science,1189296000,21,Juan Enriquez,Juan Enriquez: Using biology to rethink the energy challenge,1,1195088400,Futurist,Using biology to rethink the energy challenge,898974
46,1261,Skoll World Forum 2007,1167609600,22,Larry Brilliant,Larry Brilliant: The case for optimism,1,1195612320,"Epidemiologist, philanthropist",The case for optimism,418234
31,1164,TED2005,1107302400,20,Robert Full,Robert Full: The sticky wonder of gecko feet,1,1196127900,Biologist,The sticky wonder of gecko feet,707524
185,1017,TEDGlobal 2007,1181088000,22,Ron Eglash,Ron Eglash: The fractals at the heart of African designs,1,1196312400,Mathematician,The fractals at the heart of African designs,1527858
156,1026,TED2007,1172880000,29,Philippe Starck,Philippe Starck: Design and destiny,1,1196749800,Designer,Design and destiny,1783740
160,962,TED2007,1172880000,29,Murray Gell-Mann,"Murray Gell-Mann: Beauty, truth and ... physics?",1,1196931600,Physicist,"Beauty, truth and ... physics?",1181696
154,1184,TED2005,1107302400,22,Amory Lovins,Amory Lovins: Winning the oil endgame,1,1197334800,"Physicist, energy guru",Winning the oil endgame,832668
604,914,TED2005,1107302400,44,Arthur Benjamin,"Arthur Benjamin: A performance of ""Mathemagic""",1,1197504780,Mathemagician,"A performance of ""Mathemagic""",8360707
183,793,TED2007,1172880000,34,Daniel Goleman,Daniel Goleman: Why aren't we more compassionate?,1,1197938280,Psychologist,Why aren't we more compassionate?,1604402
71,249,TED2007,1172880000,40,Lakshmi Pratury,Lakshmi Pratury: The lost art of letter-writing,1,1198133340,Connector,The lost art of letter-writing,533761
435,558,TED2007,1172880000,40,Gever Tulley,Gever Tulley: 5 dangerous things you should let your kids do,1,1198200420,Tinkerer,5 dangerous things you should let your kids do,4364865
465,1080,TED2007,1172880000,38,Isabel Allende,Isabel Allende: Tales of passion,1,1199340000,Novelist,Tales of passion,3741423
71,375,TED2007,1173225600,28,Yossi Vardi,Yossi Vardi: We're worried about local warming ... in your lap,1,1199422800,Investor,We're worried about local warming ... in your lap,933311
95,1231,TED2003,1044144000,21,Deborah Gordon,Deborah Gordon: The emergent genius of ant colonies,1,1199751960,Ecologist,The emergent genius of ant colonies,928270
227,1082,TED2007,1172880000,30,J.J. Abrams,J.J. Abrams: The mystery box,1,1199944800,Filmmaker,The mystery box,3519656
554,327,TED2007,1172880000,47,David Gallo,David Gallo: Underwater astonishments,1,1200011280,Oceanographer,Underwater astonishments,13926113
40,1097,TED2007,1172880000,22,Paola Antonelli,Paola Antonelli: Treat design as art,1,1200367200,Design curator,Treat design as art,585052
39,1320,TED2002,1014854400,23,Frank Gehry,"Frank Gehry: A master architect asks, Now what?",1,1200528660,Architect,"A master architect asks, Now what?",959382
41,640,TED2007,1172880000,22,Raul Midon,"Raul Midon: ""Tembererana""",1,1200619320,Guitarist,"""Tembererana""",403089
